admin1Pcod,State Name,Net_Attendance,Improved_Water
NG001,Abia,84.2,83.6
NG002,Adamawa,62.9,22.1
NG003,Akwa Ibom,79.8,65
NG004,Anambra,87.6,68.4
NG005,Bauchi,40.5,34.3
NG006,Bayelsa,80.5,27.2
NG007,Benue,78,44.6
NG008,Borno,22.9,40.4
NG009,Cross River,80.5,24.5
NG010,Delta,82.6,72.7
NG011,Ebonyi,76.2,54.5
NG012,Edo,79.3,59.3
NG013,Ekiti,82.3,61.3
NG014,Enugu,77.2,63.8
NG016,Gombe,55.5,23.6
NG017,Imo,86.7,67.9
NG018,Jigawa,35,78.7
NG019,Kaduna,70,48.5
NG020,Kano,53.1,53.4
NG021,Katsina,38.9,37.4
NG022,Kebbi,26.8,73.4
NG023,Kogi,84.1,43
NG024,Kwara,67.3,64.6
NG025,Lagos,74.3,67.7
NG026,Nassarawa,70.3,47.1
NG027,Niger,44.4,48.8
NG028,Ogun,82.7,66.8
NG029,Ondo,80.7,63.7
NG030,Osun,79.3,78
NG031,Oyo,68.6,72.4
NG032,Plateau,81.4,32.8
NG033,Rivers,78.1,69
NG034,Sokoto,31.1,26
NG035,Taraba,62.6,19.9
NG036,Yobe,32.9,50.3
NG037,Zamfara,20.5,29.5
NG015,FCT-Abuja,79.4,66.3
